RGIId,Loibl_ELA,Loibl_THAR,Loibl_AAR,Loibl_AABR
RGI60-13.00548,5888.40699118982,0.4251328806984458,0.7329305478923605,2.8113220517490416
RGI60-13.00549,5892.596696342032,0.261039704784012,0.71964944909346,2.6271715560932107
RGI60-13.00550,5858.921621410226,0.437774873210652,0.8258728998488378,4.883449784875548
RGI60-13.00552,5940.175354536615,0.3622545248977795,0.820109667060687,4.69875283430213
RGI60-13.00553,5916.027875805353,0.2919343287439454,0.903386739021376,9.677330895497551
RGI60-13.00555,5885.139781326367,0.2011926136762784,0.8311840789528272,5.105103642084802
RGI60-13.00561,5792.196396010884,0.2812954677238205,0.8365864055809994,5.352892906745969
RGI60-13.00562,5785.119634621168,0.2869399005976625,0.79860146939581,4.14656656491423
RGI60-13.00564,5740.22397098433,0.2596584994852779,0.8317493491802668,5.1903617697032205
RGI60-13.00570,5818.291246494379,0.2643563439471054,0.7991663146093243,4.13744893128267
RGI60-13.00571,5845.460106939122,0.3292529876898055,0.8412449266936105,5.473260883929471
RGI60-13.00573,5773.417072426111,0.3348653259272184,0.7752167523201348,3.6011934039686158
RGI60-13.00581,5906.790442478079,0.2182293249359532,0.9176105950731824,11.546403185217306
RGI60-13.00585,5793.583434088368,0.2779257669513297,0.8425294430867565,5.583807936801475
RGI60-13.00587,5806.075408319864,0.2328422631953687,0.866416266032177,6.772120705939049
RGI60-13.00588,5776.589394915678,0.3392651322598451,0.8076304608895234,4.312886413585916
RGI60-13.00597,5983.391709828565,0.4222572022567873,0.7475090875898149,3.0779787859989987
RGI60-13.00599,5784.768228935577,0.5735654645760905,0.657693566138729,1.977139113760754
RGI60-13.00602,5929.0742451307815,0.3226574399504099,0.8840109369322908,7.910581537798081
RGI60-13.00604,5665.443020957925,0.3520132675544844,0.8123185282680494,4.51962138785065
RGI60-13.00605,5679.256414781822,0.420310035951239,0.7475451723913696,3.081438876353533
RGI60-13.00606,5639.862878354075,0.2462750411156015,0.8860527156081074,8.181843093282431
RGI60-13.00611,5046.451673217443,0.7450974690196727,0.4228263828235801,0.7882672060795781
RGI60-13.00612,4335.830579758688,0.4953358860550971,0.443391082801714,0.90588945179219
RGI60-13.00615,4715.729739263497,0.4629653833187027,0.6213902276142355,1.7119909937987932
RGI60-13.00620,4841.518333753464,0.5906993405651184,0.5210287888452902,1.147362642170216
RGI60-13.00622,4678.625642759628,0.5786656494664202,0.5606578636010833,1.356981535137236
RGI60-13.00628,5189.4401604317145,0.5760797139798114,0.5608144302324217,1.3957007067516922
RGI60-13.00638,5484.730275714118,0.7153258499334026,0.2983173245854584,0.4411791320260803
RGI60-13.00643,5122.986432022127,0.4323044490560344,0.6057099437458647,1.7251444383404364
RGI60-13.00648,5246.17083892938,0.2011816713591871,0.7694353445403683,3.4383090955662743
RGI60-13.00662,5331.926986073819,0.3092674997092592,0.7547268266001897,3.165764075697508
RGI60-13.00674,5429.688710031814,0.4650989391788844,0.542746549707995,1.222172028744267
RGI60-13.00675,5291.641305746107,0.2362157761228597,0.8509326812300819,5.890048834516624
RGI60-13.00687,5416.425923688536,0.430616989811224,0.5968466529003297,1.5399949553986296
RGI60-13.00689,5443.463683690027,0.4603675602040066,0.5368665456861998,1.1940574209834978
RGI60-13.00692,5456.26637219926,0.1025497561690005,0.935764992045758,15.134844897035473
RGI60-13.00693,5488.604278999128,0.4541200141377751,0.7820800007886559,3.804029611287715
RGI60-13.00698,5532.619350159197,0.4590968637886256,0.5864757166794174,1.47619942412919
RGI60-13.00702,5416.654671305248,0.3979796301630285,0.6358069323901681,1.8070520751215484
RGI60-13.00703,5525.50864702131,0.5138299467702762,0.5203054890794829,1.1232404095061463
RGI60-13.00705,5465.880120740004,0.4255803622356859,0.5456714121679705,1.234196984522843
RGI60-13.00710,5529.391632797297,0.5786700085569807,0.470575308897196,0.911951917951261
RGI60-13.00711,5473.939219589146,0.549809143939577,0.4948129392481492,1.0230028497609325
RGI60-13.00712,5414.33702671443,0.6277953905727325,0.4078993375065621,0.7109192463924974
RGI60-13.00713,5417.7250797764,0.51698764728288,0.5541385521037487,1.2893365852315544
RGI60-13.00715,5424.723117844242,0.5909521675855632,0.6184641884074615,1.666488913036038
RGI60-13.00717,5529.090067208999,0.609654895308764,0.7132765433775432,2.590703619444816
RGI60-13.00718,5490.008034899242,0.4271277298224412,0.5478287287643884,1.2444296833197768
RGI60-13.00719,5322.572152784064,0.1438866610220304,0.8609129387581854,6.299713527971982
RGI60-13.00720,5424.269674137771,0.4420450879637261,0.5179417724906428,1.0941845078772758
RGI60-13.00724,5381.704281648655,0.3682004286250973,0.5131326266492611,1.1173022365068754
RGI60-13.00727,5323.842909727891,0.5612679570359104,0.6098101264438655,1.6489107899844837
RGI60-13.00734,5433.455832192786,0.6012450644228785,0.7457427531743355,3.050570774795561
RGI60-13.00736,5422.054910632206,0.3355585673543673,0.629309676510956,1.7540454681814492
RGI60-13.00741,5235.2553852690935,0.678555214497396,0.4832896061027881,0.9936708403565756
RGI60-13.00742,5389.757273918297,0.6028570185457067,0.5862868887715559,1.5361733280554382
RGI60-13.00743,5293.371125433908,0.3483490608534915,0.6588992621500208,1.9959538121488165
RGI60-13.00750,5408.422907543707,0.5485291874125721,0.5754806309746272,1.490290096103358
RGI60-13.00751,5258.458562552702,0.504769596927515,0.3741772964320984,0.6275286601433807
RGI60-13.00752,5143.755024502776,0.4972191783104118,0.6365768581573611,1.8529334244239704
RGI60-13.00757,5166.468961350498,0.4877010963779226,0.6801569268375496,2.2734984808037204
RGI60-13.00758,5488.906472911471,0.3883574605139719,0.654421228034718,1.9597728733942303
RGI60-13.00761,5015.488360277454,0.4128729964477434,0.6062504679040731,1.8321024485964383
RGI60-13.00763,5255.054209498905,0.4170579882036392,0.605763417769051,1.7012513254705652
RGI60-13.00764,5323.215097338309,0.6116427643923587,0.6096731411968904,1.6062643531755068
RGI60-13.00765,5261.869827629844,0.5246234299189032,0.6768372248898222,2.186084081997515
RGI60-13.00767,5173.238860608295,0.1519813149284875,0.9316126215230784,14.026631475709545
RGI60-13.00769,5295.831082433306,0.4080289748638632,0.6501176758453681,1.9085999149456712
RGI60-13.00777,5187.733366547439,0.3473862513829566,0.5270255040643015,1.3379634452273323
RGI60-13.00783,5399.513103351166,0.3544118935562001,0.726599068362573,2.800817475511764
RGI60-13.00784,5107.28202865628,0.4377901203967482,0.4688130651800623,0.9487475298360822
RGI60-13.00788,5150.556186112239,0.4712147806838787,0.6437527909632594,2.112509145341079
RGI60-13.00790,5042.402033965224,0.2331099887365289,0.4664146951821367,0.9588055153840096
RGI60-13.00793,5345.866520966405,0.4471687230109009,0.5926820405580572,1.5021967597891157
