RGIId,n,slope,intercept,r_value,p_value,mad_err,AAR_mean
RGI60-14.07664,12.0,-0.0130884170293979,0.611193415107977,-0.023640274707989826,0.9418660904383386,0.17503029145659957,0.61156137262091
RGI60-14.07666,9.0,0.27213632911075314,0.7457761052419712,0.7877434873380987,0.011704609007261715,0.080433283009344,0.7467693775139854
RGI60-14.07667,15.0,0.030899731563145436,0.47912048082823705,0.05105569990838387,0.8566032784579412,0.16763782707363142,0.473703980816378
RGI60-14.07671,16.0,0.009461628697838623,0.7035629392813373,0.02791772558423145,0.9182554710023192,0.09054251187367525,0.7033816834621556
RGI60-14.07678,12.0,-0.054629069242380375,0.5361891403614498,-0.13600589477071093,0.6734166862951267,0.1258379838155685,0.5510621820435503
RGI60-14.07679,10.0,0.05412147792548206,0.6237432477045228,0.10609789913478762,0.7705058203497414,0.17933275995518955,0.6152153375838648
RGI60-14.07680,10.0,0.06410834526497326,0.8369372260452071,0.3229579738700476,0.36271877531782953,0.06642084553283255,0.8299776295119363
RGI60-14.07683,14.0,-0.017088104972003134,0.5821341840671894,-0.038271227605962875,0.8966510528838842,0.1287990326505613,0.583680818209611
RGI60-14.07684,16.0,-0.03230955509996866,0.6809036524534149,-0.17341532837533863,0.5206860362891417,0.0490398383163846,0.6833267287137368
RGI60-14.07693,14.0,-0.17644396232954276,0.5926844411195689,-0.28108259678496195,0.33031562265403935,0.1739042861561974,0.6191795548799602
RGI60-14.07694,16.0,0.03135732573091209,0.7077182472737721,0.12493232121196138,0.6447944475112111,0.06655553969398274,0.7096283450184291
RGI60-14.07697,16.0,0.0626434449030975,0.7229555533111457,0.11851666229038793,0.6619969164309063,0.1402686073771965,0.7139189785199538
RGI60-14.07700,11.0,0.011029092098998087,0.6410321251664097,0.03149168163435271,0.9267655373992383,0.11668289583727626,0.639519387234442
RGI60-14.07706,16.0,0.023786221481203094,0.515952897506684,0.04716295443928363,0.862302362651285,0.1346408638817765,0.5143378671961579
RGI60-14.07712,12.0,0.15184345947244016,0.7524300574647763,0.3309457809827663,0.29337285968081,0.1369147001614294,0.7767955696451736
RGI60-14.07717,17.0,-0.09757570369625541,0.6100278648919204,-0.2943662635037967,0.2514249996268208,0.08179491169204996,0.6055377556328004
RGI60-14.07722,15.0,-0.3688009138568082,0.6328828692424556,-0.5251959219401504,0.044390125642353506,0.16573682126532638,0.6130625510135125
RGI60-14.07724,10.0,-0.007576593748726296,0.8613236189295101,-0.02592435784544032,0.9433285647545964,0.1032939802555338,0.8607281926910861
