glacier_type,slope_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
5,1,0,24,0.6024837968818132,0.06524432010998422,0.005986216531742426,27,0.5091750464003811,0.11032465166950305,0.00339743077614952,4,1.9367053069215516,0.23727345562706684,0.07557041503143597
5,1,1,36,0.5971718824519289,0.06372560286401749,0.003353255975948458,44,0.478924707100958,0.10571712165203866,0.002928931942248752,4,1.8463676971462535,0.2504984001647086,0.060472664837172174
5,2,1,15,0.5715106885081943,0.059855339346227825,0.007095632270049517,17,0.42132782570932753,0.10314467660601194,0.007042709388530359,1,1.732296646631476,,0.44548712763295106
6,0,1,66,0.6204807050122537,0.05565893295758706,0.0026793290007811102,142,0.5026849454672152,0.16212365953309885,0.002205993072139308,8,1.8713697581844255,0.21608786195736718,0.0
6,0,2,78,0.6046704677138889,0.06720792563125028,0.003894630773944546,86,0.4409513059658259,0.12992034211378845,0.002747420935831274,6,1.8216927833301046,0.3145536354331105,0.12739613645438996
6,0,3,109,0.5940825328266548,0.07168970672989929,0.0029957430466540217,119,0.39766397346702825,0.13694801412559476,0.0022304396647888584,13,1.9297186115194265,0.263769417698391,0.06817599465289301
6,1,2,6,0.5802269436342585,0.03136904198418644,0.0,9,0.42145943453822177,0.10048770531764906,0.003652758074184174,1,1.2836383373849436,,0.44456539256237027
6,1,3,19,0.6210142742955247,0.07467330247564898,0.005519168296610572,19,0.41021351798990063,0.11139237598408602,0.005046438723896182,3,1.7749181800882505,0.5386962141103406,0.0
6,2,2,10,0.6143426943790621,0.06811777386762492,0.017633797977606648,9,0.4067240405006171,0.07227552261458657,0.01153220855362641,1,2.076762344613324,,0.8013291318689304
6,2,3,9,0.617585353189821,0.056729871759968506,0.012268484452840971,9,0.39568545738144206,0.08115848416151025,0.006860005268831111,1,2.1865222572516907,,0.0
7,0,0,37,0.6139510277359567,0.05826199470158053,0.0028577161857268538,82,0.5177033714820435,0.15227260760361006,0.0027441331441853123,2,2.070250609793419,0.11906896160591925,0.0
7,0,1,41,0.6309352467374152,0.049944252801346456,0.003395324530130191,105,0.49157637976275254,0.15069011168145904,0.0026629719294293205,4,1.9316612218437503,0.14045554731763937,0.0998788952817846
7,0,2,5,0.5917597924199488,0.08593070951146439,0.010241071662125106,13,0.4968309584105889,0.05809344892236137,0.0035863242682783814,3,1.9571901776243141,0.1118822438640941,0.12112850289253714
7,0,3,10,0.5934453716493253,0.08900403885866781,0.005049960180108005,18,0.46917163810683493,0.08100093826327322,0.002552184835006285,3,1.5737739564452558,0.42261303238632614,0.0
7,2,1,1,0.4879612417534244,,0.0,1,0.5864597337692683,,0.0,1,1.828260854879032,,0.0
