glacier_type,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
4,1,0,15,0.5664339751807389,0.07149317004741053,0.004944529618481157,13,0.43623456678800393,0.1389049985502403,0.0017115903918297503,2,1.4271095103175004,0.09180511857873444,0.0
4,1,1,32,0.5483864039585604,0.057595973564309066,0.001038572097926514,33,0.4344982106158736,0.11343230918372471,0.0014947339767784969,10,1.8402793131831807,0.31255292247640054,0.0
4,1,2,27,0.5909735398195299,0.07682771973474635,0.005908696610936424,24,0.3971196430646448,0.14656995897190753,0.0026604538491282405,5,1.6651063900596366,0.14415529298452107,0.09968739595737489
4,1,3,52,0.5941974994744086,0.06954985946788522,0.0032346819055808053,72,0.401458421178919,0.13043829809557442,0.002882112629802151,12,1.8673849030709935,0.22213256821799812,0.0
4,2,0,67,0.6142497488425571,0.06242482432023168,0.0026005876024570926,116,0.4105232809064946,0.11896920047415942,0.0022077759203837644,5,1.5738222289689918,0.38436779818458555,0.08721050063882259
4,2,1,197,0.5984903309972378,0.06860472210033687,0.001355609435930645,273,0.44702285481174636,0.1259920031892325,0.0013175015959292944,26,1.8065770665441638,0.37595110229651096,0.012690316323120506
4,2,2,137,0.5768900872789805,0.07023174757058899,0.002370520430117516,142,0.3605131201909378,0.1069620487492167,0.0018974243407310944,20,1.7140407554282902,0.3238587971223357,0.04911439127007894
4,2,3,187,0.5798151086132922,0.07098926984588845,0.0022909839625964304,194,0.37931453989829694,0.11106564025666853,0.0017295277448300197,17,1.7474282435319413,0.2815761779595813,0.042886658987505856
5,1,0,3,0.5714153618580452,0.08689504059941641,0.0,2,0.4290463962088857,0.2063889600314296,0.0,1,1.611177271017234,,0.0
5,1,1,7,0.5601258130368938,0.05686484513705006,0.011948863597577996,9,0.3849071167061118,0.11324699481524336,0.009437733714517593,1,1.732296646631476,,0.44548712763295106
5,2,0,137,0.6080098978578259,0.058695395197068054,0.001793209917658854,186,0.450665042366141,0.12125453872815536,0.0015137401526054844,16,1.950228543209085,0.1753085065365201,0.027395678982087536
5,2,1,202,0.5989140208002465,0.0556863485117449,0.0015460564266330237,276,0.4527508899699875,0.12345853977619056,0.001295105735183977,21,1.8768734590136849,0.24065481000182923,0.033319709957677024
5,2,3,3,0.5511411380083795,0.049226468183013905,0.0034629507244109217,4,0.3974917565740068,0.10978612339381542,0.00962655386026309,1,2.14872489250306,,0.0
6,2,1,70,0.6237949350866197,0.055866226785798064,0.002599074778236784,155,0.5052510130162565,0.16116980217493998,0.0021484133034621934,8,1.8713697581844255,0.21608786195736718,0.0
6,2,2,94,0.604139203056165,0.0654985819248136,0.003736725422935332,104,0.43630253450394785,0.12342317045954941,0.0025014877332225744,8,1.786319672747362,0.34626021596009215,0.14916636511648598
6,2,3,137,0.5993615727622537,0.07154324733478787,0.002629906106600344,147,0.3991648898014793,0.13064120635532991,0.0019652007913876033,17,1.9175069851334698,0.31130586034892904,0.052134584146329946
7,2,0,37,0.6139510277359567,0.05826199470158053,0.0028577161857268538,83,0.5151624545309383,0.15310143328130502,0.0029296574910338,2,2.070250609793419,0.11906896160591925,0.0
7,2,1,42,0.6275311037616058,0.0540397319191787,0.0033144834698889958,106,0.49247150574394605,0.1502537198082761,0.002637849552736591,5,1.9109811484508064,0.1301312712491156,0.07990311622542769
7,2,2,9,0.6080417820068275,0.06537474729935401,0.00568948425673617,17,0.4696130036840919,0.07255972294491475,0.002742483263977586,3,1.9571901776243141,0.1118822438640941,0.12112850289253714
7,2,3,14,0.6078911790994166,0.0827316520976228,0.0036071144143628607,22,0.46403393071644755,0.08356408763763576,0.002088151228641506,3,1.5737739564452558,0.42261303238632614,0.0
