glacier_type,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
3,2,2,84,0.5320533092996771,0.05573906173676007,0.0007404409187209895,87,0.49665337734025516,0.07831651203466104,0.00045300067678547744,76,1.376129694979015,0.3317862616995009,0.0038591627560176935
4,0,0,132,0.6042161960858458,0.07176237847214488,0.0021070183715474265,238,0.4012280811181615,0.12820134448795137,0.0017872735972608977,23,1.628401773285179,0.36209216720012477,0.020793933962777452
4,0,1,19,0.6234162851652013,0.05534133715254008,0.0045308708145582475,34,0.5387498007539642,0.10582149297264502,0.0042029771075393595,2,1.6761193867623452,0.09345617333373697,0.0
4,0,2,12,0.5763531873146847,0.05763890933738894,0.011958070128546,14,0.5157294353726736,0.1482638726324948,0.005794689384719698,6,1.6375388758064553,0.3171934523798625,0.08307282996447907
4,1,0,153,0.592424485155978,0.06882584347169662,0.0020445813309878593,182,0.3923538719895539,0.12028317634893584,0.0016694705276564066,26,1.6393827412517938,0.3368007310641841,0.018978934294502987
4,1,1,46,0.5837774667855057,0.06631392240359817,0.003488701413506388,46,0.4362737857517284,0.12746006468118615,0.0027231394008833446,7,1.874178196549256,0.24936510461191716,0.0
4,1,2,57,0.5708368113733916,0.0678088753669401,0.002642548338675222,56,0.42973776602572117,0.10115959468780107,0.002207063275370778,13,1.7667215799553664,0.38030843908135165,0.020234708322201977
4,2,0,272,0.5822474738048121,0.07520237708757713,0.0015828526979842976,302,0.40469721265920705,0.12657520339420358,0.0011353742032840105,43,1.689018196748053,0.33348325008151153,0.03131343870879872
4,2,1,64,0.5766353233720714,0.06330611606853419,0.0022415347782224963,62,0.41027510512864085,0.13470674914107533,0.0017288045454919132,12,1.8871942056658906,0.23717296913282507,0.034386957428866695
4,2,2,45,0.5470987851501141,0.06698265615212884,0.0014879687387607443,46,0.40964997783139895,0.10231199397418844,0.001473109152693169,7,1.750483116076822,0.2282618264584692,0.0
5,0,0,72,0.6222187873969723,0.05185368519807213,0.0029458577255360285,138,0.46799863558182203,0.14291489624128023,0.0022892420594614435,8,1.9527921385933578,0.1701673039673519,0.048967547948349226
5,0,1,8,0.6244232892143914,0.04949178863677921,0.011790072325496228,16,0.5215119625623174,0.09789625095378078,0.00834617198391154,2,1.8749566405895448,0.37304036192338674,0.0
5,0,2,3,0.6232221727388606,0.03676528528523908,0.02982195300868463,4,0.4593113582286897,0.15061662295400438,0.0233271937029522,1,1.732296646631476,,0.44548712763295106
5,1,0,99,0.6014702278060304,0.053482276754242906,0.002244346993335299,130,0.39987960590095756,0.10258169397209241,0.0019127679119795107,5,1.8496937092869956,0.18443634968506034,0.03523058343271801
5,1,1,23,0.5914834501569658,0.07468710919198772,0.005257007186911556,25,0.48049598641194197,0.11607225831913483,0.0027891858004433913,3,1.7273391125693216,0.16178341079092837,0.12905007345493588
5,2,0,102,0.5959211248901459,0.052679701922586246,0.0014929615501761923,118,0.46430131072782604,0.10800239629082747,0.0009827585204227431,18,1.9097113234833318,0.250495932078032,0.032742817005184825
5,2,1,29,0.5985618353830211,0.05797486091987641,0.0037294984864601815,33,0.47479074672985694,0.10956628785294775,0.0015982198715745585,3,2.0667871324613887,0.06476439378546286,0.0
6,0,0,89,0.6165213204757686,0.05485182918785475,0.0025194267766615163,220,0.47706121417001557,0.16113194331072658,0.0018673341456703924,7,1.8428286529941957,0.21650267365950177,0.0
6,1,0,130,0.6038894136503334,0.07131518494898284,0.0026087373361290745,140,0.4432726322945061,0.13949888699937094,0.002158341650578,14,1.8845128135868559,0.3141173330795034,0.07200735826105757
6,1,1,18,0.6217482482262893,0.07509142302459101,0.006291788624199866,17,0.444121006152893,0.12683573992547392,0.005859334511205015,3,1.5237699301316867,0.530936124746622,0.14818846418745676
6,1,2,13,0.6132379459532715,0.0698271492061314,0.016004225714878972,12,0.3631197373964947,0.05120986416032549,0.010063745443777763,1,2.076762344613324,,0.8013291318689304
6,2,0,66,0.5948807613460378,0.06528417197484283,0.004453454238850192,75,0.3892099670911956,0.1267953746785936,0.0027179712015855473,6,1.9507461256722045,0.14537202527314397,0.09909402473323202
6,2,1,10,0.6121577673027934,0.05722208685146912,0.0,14,0.38801948343003695,0.08196688912278256,0.0023482016191183975,1,2.0370830872546346,,0.0
6,2,2,6,0.6216003041844133,0.04185514945890064,0.0,6,0.4773747720300993,0.052854760193548164,0.0,1,2.1865222572516907,,0.0
7,0,0,49,0.6239447387721203,0.06056321772724412,0.0030600834214940696,126,0.5026652531363474,0.15823180315057114,0.002386179269148989,4,1.971247320889053,0.16973004803759664,0.08077945945953702
7,0,2,1,0.4879612417534244,,0.0,1,0.5864597337692683,,0.0,1,1.828260854879032,,0.0
7,1,0,6,0.6347153101951707,0.049753885960529855,0.011259153864973137,23,0.4607281121568187,0.15963936831358266,0.007363419331412552,1,1.913551553883076,,0.0
7,2,0,38,0.6077947831592763,0.06237334126486868,0.002452350551417197,69,0.507804634885372,0.10227210690839719,0.0017161849296135302,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
