glacier_type,precipitation_category,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
3,2,2,3,143,0.5547230976114801,0.06610157567329318,0.0007177771522598505,146,0.523123058082235,0.09537118796971512,0.0004679917292421064,105,1.5000949575396307,0.3401217261677118,0.006892395783165617
4,0,0,0,2,0.6155319629431836,0.0003549021872681083,0.0,3,0.6157949688346439,0.14320188446273524,0.0,2,1.7000785138074845,0.11905450034248778,0.0
4,0,0,1,3,0.5282967293132717,0.03611991932094105,0.0,5,0.5658345084924554,0.18382237493803824,0.010810895749269012,3,1.3673672327301738,0.3018184341448491,0.0
4,0,0,2,3,0.5641264646965215,0.02348305157941566,0.0,4,0.4205921295415467,0.08803026570008667,0.0,2,1.9025139582247947,0.0009367272396014398,0.0
4,0,0,3,6,0.5586416260552608,0.07333912039938975,0.0,4,0.3861133491919513,0.14876163881267007,0.0,5,1.5474533214871589,0.2790112273654186,0.0
4,0,1,0,1,0.5736523880426746,,0.0,1,0.7442330904025426,,0.0,1,1.4920255322121585,,0.0
4,0,1,1,1,0.4959182396821657,,0.0,2,0.7124727294991379,0.03324968687628701,0.01933386972228701,1,1.067411057978384,,0.0
4,0,1,2,5,0.5732732302127106,0.07110257792375617,0.02483127815128923,5,0.28861740809295405,0.11465637988250661,0.008053660011250796,2,1.8038603926971981,0.0037483355601978584,0.2492184898934372
4,0,1,3,3,0.618747419027699,0.08713251408935098,0.0,6,0.2974703990004381,0.034450361606105685,0.0,1,1.9909988973003387,,0.0
4,0,2,0,35,0.6225714850040469,0.06816842711299739,0.004183731696050862,72,0.3910832977855245,0.11444601835223842,0.0032158112079366213,4,1.7326992267105517,0.16942688580194287,0.1061730681257372
4,0,2,1,81,0.610752073009572,0.06966481778267367,0.0025924204829143645,149,0.4525114428206058,0.1331489302679183,0.0021871682573758977,8,1.5790618847633118,0.4825613998112368,0.02749135133894899
4,0,2,3,14,0.5811252854124567,0.061523421155569864,0.011158795242067506,25,0.3686763941763924,0.09446389905358343,0.007968054560797806,2,1.9323556531988444,0.07410229237968177,0.0
4,1,0,1,1,0.4658430333371571,,0.0,2,0.4384631204269341,0.21601947368731356,0.0,1,0.9224984083846448,,0.0
4,1,0,2,13,0.5699525973177366,0.08758954763361851,0.003187385930402823,18,0.4342877595496967,0.13074168918378354,0.0032951030391408,6,1.6204301856262813,0.2593362983460776,0.0
4,1,0,3,16,0.5895568657122401,0.07882717452804112,0.005108451506247583,23,0.4068111880539256,0.15758454922735285,0.0014025245441795255,4,1.5026036072336495,0.2913075082514482,0.0
4,1,1,1,15,0.5550582155003079,0.0641313340405864,0.0019380031669621323,13,0.4099409133244666,0.0773136071126897,0.0016022018963882923,3,1.9731800808935527,0.19888606850802934,0.0
4,1,1,2,17,0.594556725387401,0.0744552665812829,0.005893091890301832,15,0.4459620476903305,0.15027930006464316,0.0033034665080346986,3,1.5726037216345958,0.09729688193665981,0.0
4,1,1,3,22,0.5979600855709628,0.06391139763750707,0.004696346156674512,26,0.41997017299745215,0.14580265329340067,0.0054685604484715844,6,1.8058644485615138,0.25544705962416436,0.0
