glacier_type,temperature_category,precipitation_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
1,0,1,0,263,0.5455016880111131,0.06466066002370674,0.001064338015367738,275,0.49126655235558714,0.11020990041336907,0.00086421521875974,227,1.329285910331044,0.3132142842984003,0.0052256317255441114
1,0,1,1,219,0.5639330880466976,0.07392380572098353,0.0019355144599401334,253,0.4255234601747584,0.09954224025141499,0.0013151518974821395,190,1.3963047501490566,0.39739936329533565,0.012624923839002909
1,0,1,2,198,0.5753646662176358,0.06422769178322414,0.0019475309597594757,239,0.43578163201979897,0.09862121245493219,0.0016550737476394722,173,1.4602638333097804,0.34559057542725885,0.013181339106913955
1,0,2,0,2,0.58260308082403,0.12797070839827332,0.013812490855641735,1,0.2389843319836177,,0.006810696624056284,1,0.9814850184745264,,0.0
1,0,2,2,1,0.5788013454163696,,0.0,1,0.4645050986997037,,0.0,1,1.5785178729651537,,0.0
1,1,0,0,2489,0.5327392232098909,0.06266839762503716,0.00037788011634707844,2579,0.47705481823886503,0.09889391810002572,0.00027089896265247216,2313,1.2594529512080963,0.35611844089310235,0.002078655368021893
1,1,0,1,1408,0.527906686194405,0.06042185176758666,0.0005190527079203705,1478,0.46169133786781336,0.09942399555212969,0.00039997027232308897,1386,1.208120360024591,0.3184435994409548,0.003044992331988406
1,1,0,2,555,0.5344087975840508,0.06237651634649762,0.0006959515864311454,578,0.47961099515106276,0.10437738694994013,0.0006488898521522818,534,1.2271654462283776,0.3150718591102187,0.004022244473612827
1,1,1,0,3497,0.526232230056394,0.05894382682568332,0.0002569241085858709,3583,0.4838472941015026,0.0947447306503626,0.00019175532222128855,3322,1.226362365018907,0.3368705007023104,0.001254615765788556
1,1,1,1,2187,0.5211856554481974,0.05967027017087629,0.00026328245877548894,2256,0.4771612328969065,0.09707681747605268,0.00020198571171641729,2167,1.1883973109761905,0.3141847915424832,0.0013872890910188278
1,1,1,2,1370,0.5296978627153066,0.06461952745039024,0.0003509556335219514,1413,0.4849960968191115,0.09910893510506825,0.0003436155654820626,1318,1.2190005824298369,0.3331743860916024,0.0019098287115404528
1,1,2,0,255,0.532678682162827,0.06447467974985609,0.0010050494244959027,258,0.48600624711410545,0.09328363164824331,0.0005924029734321407,234,1.297986735349,0.3457809496270159,0.004887782648332231
1,1,2,1,230,0.5359596959051852,0.060994227189767374,0.0006164081742310301,238,0.49491972458596994,0.09858604819375373,0.0004988412398446256,215,1.3233856212085893,0.36079860736339026,0.003740908223175956
1,1,2,2,186,0.5173012037130879,0.06271320182690096,0.0008099709117434693,196,0.5068579027644151,0.09496739666812434,0.0007257762247127089,184,1.1890541752968895,0.35488993765750604,0.003494858851704998
