RGIId,wgms_ELA,wgms_THAR,wgms_AAR,wgms_AABR,CenLon,CenLat,compile_AAR,intercept_AAR,steady_AAR,compile_ELA,intercept_ELA,steady_ELA,compile_THAR,intercept_THAR,steady_THAR,compile_AABR,intercept_AABR,steady_AABR
RGI60-08.00987,2150.8358516171543,0.6132472065618491,0.2846625539214864,0.4341368457803109,8.6,61.657,0.4974967699993959,0.4974967699993959,0.4974967699993959,2077.5320995458724,2077.5320995458724,2077.5320995458724,0.4596260891232582,0.4596260891232582,0.4596260891232582,1.077542447490285,1.077542447490285,1.077542447490285
RGI60-08.01126,1611.8117301628267,0.8029433387226967,0.6049842483266972,1.95093094113943,7.099,61.715,0.6797105518609926,0.6797105518609926,0.6797105518609926,1572.4078010614146,1572.4078010614146,1572.4078010614146,0.7781775747451927,0.7781775747451927,0.7781775747451927,2.7927702919117823,2.7927702919117823,2.7927702919117823
RGI60-08.01258,808.0387836941408,0.6869611997903681,0.610358786536583,2.3859545098704698,21.737,70.13,0.6420476951301286,0.6420476951301286,0.6420476951301286,780.1117145450276,780.1117145450276,780.1117145450276,0.647018681235472,0.647018681235472,0.647018681235472,2.77922134795016,2.77922134795016,2.77922134795016
RGI60-08.01286,1414.466743601295,0.4260345455977257,0.7140050453228967,2.87649887578482,7.335,61.826,0.5671250558233869,0.5671250558233869,0.5671250558233869,1464.2682640995731,1464.2682640995731,1464.2682640995731,0.522509975827909,0.522509975827909,0.522509975827909,1.4857374319951824,1.4857374319951824,1.4857374319951824
RGI60-08.01657,1178.7274301025818,0.761058476775692,0.6045036848533949,2.0299789541935316,13.853,66.657,0.6737943757146908,0.6737943757146908,0.6737943757146908,1156.494650471668,1156.494650471668,1156.494650471668,0.7455769051019983,0.7455769051019983,0.7455769051019983,2.827117291637543,2.827117291637543,2.827117291637543
RGI60-08.01779,1674.599959804045,0.6880961448792632,0.731372428154308,3.2500647359255628,7.405,60.537,0.6488952955346051,0.6488952955346051,0.6488952955346051,1701.7466304145505,1701.7466304145505,1701.7466304145505,0.7188012137253238,0.7188012137253238,0.7188012137253238,2.156211497434633,2.156211497434633,2.156211497434633
RGI60-08.02384,1258.6892126861978,0.7688524806514163,0.473850279713716,1.040374027826123,16.043,67.291,0.5649897802607964,0.5649897802607964,0.5649897802607964,1227.594869898044,1227.594869898044,1227.594869898044,0.7123639125255381,0.7123639125255381,0.7123639125255381,1.5141667532896337,1.5141667532896337,1.5141667532896337
RGI60-08.02650,1134.9517863403516,0.4894109000525452,0.582668920125832,1.6037709934780775,5.672,61.746,0.5405973104118488,0.5405973104118488,0.5405973104118488,1148.0856300408152,1148.0856300408152,1148.0856300408152,0.5244394203617121,0.5244394203617121,0.5244394203617121,1.350209749071605,1.350209749071605,1.350209749071605
RGI60-08.02666,1210.0464718404876,0.6638801491161229,0.5524970192638328,1.421062616360188,5.644,61.747,0.5524970192638328,0.5524970192638328,0.5524970192638328,1210.0464718404876,1210.0464718404876,1210.0464718404876,0.6638801491161229,0.6638801491161229,0.6638801491161229,1.421062616360188,1.421062616360188,1.421062616360188
RGI60-08.02918,1386.857195383331,0.6728858284886884,0.4950538864833961,1.206906118374943,6.32,59.995,0.5656933349617019,0.5656933349617019,0.5656933349617019,1358.368118040028,1358.368118040028,1358.368118040028,0.6337173043232548,0.6337173043232548,0.6337173043232548,1.6167422919868149,1.6167422919868149,1.6167422919868149
RGI60-08.02962,1499.77138194833,0.6158155855108148,0.5303273436391268,1.2974015575352928,6.38,60.067,0.5525992599054121,0.5525992599054121,0.5525992599054121,1489.4712989244108,1489.4712989244108,1489.4712989244108,0.5895889233641818,0.5895889233641818,0.5895889233641818,1.4211195752062873,1.4211195752062873,1.4211195752062873
RGI60-08.02963,1508.816034605096,0.7520860057614637,0.5361528754706376,1.308453346716873,6.408,60.078,0.6339601991785565,0.6339601991785565,0.6339601991785565,1484.125250465912,1484.125250465912,1484.125250465912,0.7087642599045973,0.7087642599045973,0.7087642599045973,1.990265777614613,1.990265777614613,1.990265777614613
RGI60-08.02969,1512.9424408857826,0.8030571877305168,0.4877519367492993,1.1081778442006909,6.362,59.989,0.6098372528258392,0.6098372528258392,0.6098372528258392,1454.5939164624017,1454.5939164624017,1454.5939164624017,0.700552358529122,0.700552358529122,0.700552358529122,1.8593982258919524,1.8593982258919524,1.8593982258919524
RGI60-10.01708,3129.3252613362597,0.488817105594097,0.7361135825375833,3.110251429404034,87.78030396,50.04769898,0.585481397524753,0.585481397524753,0.585481397524753,3266.149604888397,3266.149604888397,3266.149604888397,0.6861922864561996,0.6861922864561996,0.6861922864561996,1.5637320170767186,1.5637320170767186,1.5637320170767186
RGI60-10.01732,3264.7244955758492,0.6740930765869302,0.6640561789764255,2.212049418080971,87.74552155,50.04967499,0.6374493582601327,0.6374493582601327,0.6374493582601327,3272.7870358987147,3272.7870358987147,3272.7870358987147,0.6803022534345484,0.6803022534345484,0.6803022534345484,1.9595906123079143,1.9595906123079143,1.9595906123079143
RGI60-10.01737,3233.375185286194,0.4327361328417689,0.6281348945856858,1.98311835380934,87.69024658,50.08007813,0.5584427998379002,0.5584427998379002,0.5584427998379002,3302.300408726144,3302.300408726144,3302.300408726144,0.486582757138953,0.486582757138953,0.486582757138953,1.4781218575194357,1.4781218575194357,1.4781218575194357
RGI60-10.04358,746.2137568946376,0.5158538645193231,0.6599402091926536,2.887567593070268,161.8023529,54.83071899,0.5618883682330396,0.5618883682330396,0.5618883682330396,806.5024056855465,806.5024056855465,806.5024056855465,0.5856941899079927,0.5856941899079927,0.5856941899079927,1.8567063562067307,1.8567063562067307,1.8567063562067307
